"Gene","Entrez_ID","PMID_Count","Supporting_PMIDs","Phenotype","Source"
"ABO","28",2,"28634199;39002386","cancer","PubMed+PubTator3"
"androgen receptor","367",2,"22665440;26950096","cancer","PubMed+PubTator3"
"AR","367",2,"22665440;26950096","cancer","PubMed+PubTator3"
"ASCL1","429",2,"28742165;31782890","cancer","PubMed+PubTator3"
"ASH1L","55870",2,"23033341;24670651","cancer","PubMed+PubTator3"
"ATAD2","29028",2,"22174824;23033341","cancer","PubMed+PubTator3"
"ATR","545",2,"29360550;33909040","cancer","PubMed+PubTator3"
"BARD1","580",2,"20517688;23302999","cancer","PubMed+PubTator3"
"BCL2","596",2,"20164920;25934800","cancer","PubMed+PubTator3"
"beta-catenin","1499",2,"34965383;39799269","cancer","PubMed+PubTator3"
"BIRC5","332",2,"32902196;33186476","cancer","PubMed+PubTator3"
"BRD4","23476",2,"28986391;34341073","cancer","PubMed+PubTator3"
"BRIP1","83990",2,"19092773;32920123","cancer","PubMed+PubTator3"
"c-MYC","4609",2,"25979483;34019289","cancer","PubMed+PubTator3"
"CCNA2","890",2,"38845201;39324133","cancer","PubMed+PubTator3"
"CCND1","595",2,"28719033;29700001","cancer","PubMed+PubTator3"
"CDC27","852194;996",2,"23265383;33142748","cancer","PubMed+PubTator3"
"CDH1","999",2,"19092773;22034905","cancer","PubMed+PubTator3"
"CDH5","1003",2,"23171949;26683690","cancer","PubMed+PubTator3"
"CDK6","1021",2,"25719666;30446580","cancer","PubMed+PubTator3"
"CFTR","1080",2,"22980976;36812239","cancer","PubMed+PubTator3"
"COL3A1","1281",2,"33280513;36116415","cancer","PubMed+PubTator3"
"CREBBP","1387",2,"22941188;24670651","cancer","PubMed+PubTator3"
"CTLA4","1493;12477",2,"31174203;34774008","cancer","PubMed+PubTator3"
"CYP19","1588",2,"16322257;21875255","cancer","PubMed+PubTator3"
"CYP2D6","1565",2,"21875255;33419800","cancer","PubMed+PubTator3"
"DACH1","1602",2,"22980976;26683690","cancer","PubMed+PubTator3"
"epithelial cell adhesion molecule","4072",2,"25411184;33135729","cancer","PubMed+PubTator3"
"ERalpha","2099",2,"26906743;28886127","cancer","PubMed+PubTator3"
"ErbB","1956",2,"23700467;28339086","cancer","PubMed+PubTator3"
"ERBB","1956",2,"28333948;34167951","cancer","PubMed+PubTator3"
"ESR1","2099",2,"30728399;32374727","cancer","PubMed+PubTator3"
"extracellular matrix (ECM)","22915",2,"28177904;30289875","cancer","PubMed+PubTator3"
"EZH2","2146",2,"27461342;35725412","cancer","PubMed+PubTator3"
"FENDRR","400550",2,"26642714;28182363","cancer","PubMed+PubTator3"
"FGFR3","2261",2,"31264434;32988402","cancer","PubMed+PubTator3"
"Fos","2353;14281",2,"24423449;25539728","cancer","PubMed+PubTator3"
"FOS","2353",2,"26110572;32616754","cancer","PubMed+PubTator3"
"FOXA1","3169",2,"22665440;26950096","cancer","PubMed+PubTator3"
"IL-6","3569;16193",2,"21493669;25539728","cancer","PubMed+PubTator3"
"INHBA","3624",2,"21132402;39002386","cancer","PubMed+PubTator3"
"IRF4","3662",2,"34293285;39910817","cancer","PubMed+PubTator3"
"IRS1","3667",2,"32812852;34167951","cancer","PubMed+PubTator3"
"ITGB1","3688",2,"34326374;36116415","cancer","PubMed+PubTator3"
"Kras","16653;3845",2,"26168291;41713536","cancer","PubMed+PubTator3"
"LAMC1","3915",2,"40447568;40775447","cancer","PubMed+PubTator3"
"LPP","4026",2,"32857918;35725412","cancer","PubMed+PubTator3"
"LRP1B","53353",2,"23171949;25581428","cancer","PubMed+PubTator3"
"MAP3K1","4214",2,"19092773;23000897","cancer","PubMed+PubTator3"
"MCL1","4170",2,"20164920;23091298","cancer","PubMed+PubTator3"
"MECOM","2122",2,"26234679;36194576","cancer","PubMed+PubTator3"
"MIF","4282",2,"41168822;41713536","cancer","PubMed+PubTator3"
"MITF","4286",2,"16869735;23038766","cancer","PubMed+PubTator3"
"MSH6","2956",2,"24448331;36804482","cancer","PubMed+PubTator3"
"MTAP","4507",2,"22522925;23884293","cancer","PubMed+PubTator3"
"Myc","4609;17869",2,"24423449;26110572","cancer","PubMed+PubTator3"
"NEAT1","283131;66961",2,"28128360;37291246","cancer","PubMed+PubTator3"
"NF-kappaB","4790;18033",2,"21430775;26408534","cancer","PubMed+PubTator3"
"NFkappaB","18033;4790",2,"26110572;26972162","cancer","PubMed+PubTator3"
"NKX2-1","7080",2,"31782890;41415280","cancer","PubMed+PubTator3"
"NKX3-1","4824",2,"32986714;39878408","cancer","PubMed+PubTator3"
"NOTCH2","4853",2,"20482849;28339086","cancer","PubMed+PubTator3"
"NQO2","4835",2,"27165481;41373777","cancer","PubMed+PubTator3"
"NRXN1","9378",2,"27671336;30289875","cancer","PubMed+PubTator3"
"oncogenes","NA",2,"10945556;26168291","cancer","PubMed+PubTator3"
"P53","7157",2,"28302063;29408647","cancer","PubMed+PubTator3"
"PBRM1","55193",2,"29360550;29408647","cancer","PubMed+PubTator3"
"PDX1","3651",2,"39002386;40059124","cancer","PubMed+PubTator3"
"PIK3R1","5295",2,"28339086;29174369","cancer","PubMed+PubTator3"
"POU5F1B","5462",2,"25581428;35812248","cancer","PubMed+PubTator3"
"PREX2","80243",2,"25719666;35180847","cancer","PubMed+PubTator3"
"progesterone receptor","5241",2,"23171949;27386569","cancer","PubMed+PubTator3"
"PRSS3","5646",2,"36116415;38878676","cancer","PubMed+PubTator3"
"PTGS2","5743",2,"26110572;32493953","cancer","PubMed+PubTator3"
"PTPRD","5789",2,"28235956;31278746","cancer","PubMed+PubTator3"
"RAD50","10111",2,"19092773;32920123","cancer","PubMed+PubTator3"
"RAD51","5888",2,"19214744;32902196","cancer","PubMed+PubTator3"
"S100P","6286",2,"22445993;23302999","cancer","PubMed+PubTator3"
"SLITRK5","26050",2,"27599611;27671336","cancer","PubMed+PubTator3"
"SMARCA4","6597",2,"23033341;25278450","cancer","PubMed+PubTator3"
"SMARCB1","361825;6598",2,"34261517;36804482","cancer","PubMed+PubTator3"
