"PMID","Title","Journal","Year"
"37415973","The genetic associations of COVID-19 on genitourinary symptoms.","Frontiers in immunology","2023"
"25650807","Identification of novel fusion genes in lung cancer using breakpoint assembly of transcriptome sequencing data.","Genome biology","2015"
"28460486","Small RNA sequencing reveals metastasis-related microRNAs in lung adenocarcinoma.","Oncotarget","2017"
"27455841","Transcriptomic analyses of the radiation response in head and neck squamous cell carcinoma subclones with different radiation sensitivity: time-course gene expression profiles and gene association networks.","Radiation oncology (London, England)","2016"
"20126538","Joint genome-wide profiling of miRNA and mRNA expression in Alzheimer's disease cortex reveals altered miRNA regulation.","PloS one","2010"
"40616903","Decoding disease-specific ageing mechanisms through pathway-level epigenetic clock: insights from multi-cohort validation.","EBioMedicine","2025"
"25275298","The head and neck cancer cell oncogenome: a platform for the development of precision molecular therapies.","Oncotarget","2014"
"30821641","Hormone therapy use and breast tissue DNA methylation: analysis of epigenome wide data from the normal breast study.","Epigenetics","2019"
"25521454","Assessment of cancer cell line representativeness using microarrays for Merkel cell carcinoma.","The Journal of investigative dermatology","2015"
"22144254","A transcriptome analysis by lasso penalized Cox regression for pancreatic cancer survival.","Journal of bioinformatics and computational biology","2011"
"31410488","ncRNA-eQTL: a database to systematically evaluate the effects of SNPs on non-coding RNA expression across cancer types.","Nucleic acids research","2020"
"41219359","Genetic variants reshape the m6A epitranscriptome and drive transcriptomic reprogramming in colorectal cancer.","Scientific reports","2025"
"36318117","Gene Fusion Detection and Characterization in Long-Read Cancer Transcriptome Sequencing Data with FusionSeeker.","Cancer research","2023"
"28182363","Comprehensive Analysis of lncRNA and mRNA Expression Profiles in Lung Cancer.","Clinical laboratory","2017"
"40841173","Deciphering context-specific gene programs from single-cell and spatial transcriptomics data with DeCEP.","Genome research","2025"
"30664627","C1 CAGE detects transcription start sites and enhancer activity at single-cell resolution.","Nature communications","2019"
"28634199","Characterising cis-regulatory variation in the transcriptome of histologically normal and tumour-derived pancreatic tissues.","Gut","2018"
"34321100","Distinct signatures of codon and codon pair usage in 32 primary tumor types in the novel database CancerCoCoPUTs for cancer-specific codon usage.","Genome medicine","2021"
"36194576","Integrative weighted molecular network construction from transcriptomics and genome wide association data to identify shared genetic biomarkers for COPD and lung cancer.","PloS one","2022"
"32067842","Etiology of atherosclerosis informs choice of animal models and tissues for initial functional genomic studies of resveratrol.","Pharmacological research","2020"
"34308964","Microarray analysis of genes with differential expression of m6A methylation in lung cancer.","Bioscience reports","2021"
"22467206","Identification of allele-specific alternative mRNA processing via transcriptome sequencing.","Nucleic acids research","2012"
"26237329","Analysis of the Human Prostate-Specific Proteome Defined by Transcriptomics and Antibody-Based Profiling Identifies TMEM79 and ACOXL as Two Putative, Diagnostic Markers in Prostate Cancer.","PloS one","2015"
"27671336","Integrated Genetic, Epigenetic, and Transcriptional Profiling Identifies Molecular Pathways in the Development of Laterally Spreading Tumors.","Molecular cancer research : MCR","2016"
"22471859","Generation and analysis of blueberry transcriptome sequences from leaves, developing fruit, and flower buds from cold acclimation through deacclimation.","BMC plant biology","2012"
"33280513","Role of COL3A1 and POSTN on Pathologic Stages of Esophageal Cancer.","Technology in cancer research & treatment","2020"
"32079541","A framework for transcriptome-wide association studies in breast cancer in diverse study populations.","Genome biology","2020"
"41373592","De Novo Detection of Clonal Structure and Evolution in Single-Cell and Spatial Transcriptomes.","International journal of molecular sciences","2025"
"34326374","Combined bioinformatics technology to explore pivot genes and related clinical prognosis in the development of gastric cancer.","Scientific reports","2021"
"26201698","Framework for the Integration of Genomics, Epigenomics and Transcriptomics in Complex Diseases.","Human heredity","2015"
"30784104","A comprehensive analysis of WGCNA and serum metabolomics manifests the lung cancer-associated disordered glucose metabolism.","Journal of cellular biochemistry","2019"
"27461342","Hypomethylation coordinates antagonistically with hypermethylation in cancer development: a case study of leukemia.","Human genomics","2016"
"28223168","Prognostic alternative mRNA splicing signature in non-small cell lung cancer.","Cancer letters","2017"
"22479372","Genome wide analysis of acute myeloid leukemia reveal leukemia specific methylome and subtype specific hypomethylation of repeats.","PloS one","2012"
"31011186","Multiplexed detection of proteins, transcriptomes, clonotypes and CRISPR perturbations in single cells.","Nature methods","2019"
"26965997","High-throughput «Omics» technologies: New tools for the study of triple-negative breast cancer.","Cancer letters","2016"
"31143935","Genetically Predicted Levels of DNA Methylation Biomarkers and Breast Cancer Risk: Data From 228 951 Women of European Descent.","Journal of the National Cancer Institute","2020"
"38400758","Multi-tissue transcriptome-wide association studies identified 235 genes for intrinsic subtypes of breast cancer.","Journal of the National Cancer Institute","2024"
"41577183","Transcriptomics reveals new therapeutic targets for ovarian cancer.","SLAS technology","2026"
"34530677","Cell-specific gene association network construction from single-cell RNA sequence.","Cell cycle (Georgetown, Tex.)","2021"
"36690614","MiXcan: a framework for cell-type-aware transcriptome-wide association studies with an application to breast cancer.","Nature communications","2023"
"28666851","Cold atmospheric plasma restores tamoxifen sensitivity in resistant MCF-7 breast cancer cell.","Free radical biology & medicine","2017"
"27934951","Biological marks of early-life socioeconomic experience is detected in the adult inflammatory transcriptome.","Scientific reports","2016"
"31667772","Quantitation of Molecular Pathway Activation Using RNA Sequencing Data.","Methods in molecular biology (Clifton, N.J.)","2020"
"26136424","H3K9 Trimethylation Silences Fas Expression To Confer Colon Carcinoma Immune Escape and 5-Fluorouracil Chemoresistance.","Journal of immunology (Baltimore, Md. : 1950)","2015"
"38697998","Using genome and transcriptome data from African-ancestry female participants to identify putative breast cancer susceptibility genes.","Nature communications","2024"
"20482849","NOTCH2 in breast cancer: association of SNP rs11249433 with gene expression in ER-positive breast tumors without TP53 mutations.","Molecular cancer","2010"
"39910817","Unraveling the genetic landscape of susceptibility to multiple primary cancers.","HGG advances","2025"
"20525369","Prediction of epigenetically regulated genes in breast cancer cell lines.","BMC bioinformatics","2010"
"25190105","Genome-wide identification and expression analysis of microRNA involved in small cell lung cancer via deep sequencing.","Molecular medicine reports","2014"
"40241087","Novel insight of critical genes involved in breast cancer brain metastasis: evidence from a cross-tissue transcriptome association study and validation through external clinical cohorts.","BMC cancer","2025"
"30958860","An expanded variant list and assembly annotation identifies multiple novel coding and noncoding genes for prostate cancer risk using a normal prostate tissue eQTL data set.","PloS one","2019"
"29808603","Transcriptome-wide association studies accounting for colocalization using Egger regression.","Genetic epidemiology","2018"
"38659038","Prioritization of therapeutic targets for cancers using integrative multi-omics analysis.","Human genomics","2024"
"30178254","DNA Methylation as a Biomarker of Aging in Epidemiologic Studies.","Methods in molecular biology (Clifton, N.J.)","2018"
"23796192","Esophageal squamous cell carcinoma (ESCC): advance in genomics and molecular genetics.","Diseases of the esophagus : official journal of the International Society for Diseases of the Esophagus","2015"
"38761291","Genome-wide investigation of lncRNAs revealed their tight association with gastric cancer.","Journal of cancer research and clinical oncology","2024"
"33717131","Comprehensive Integration of Genome-Wide Association and Gene Expression Studies Reveals Novel Gene Signatures and Potential Therapeutic Targets for Helicobacter pylori-Induced Gastric Disease.","Frontiers in immunology","2021"
"33909040","A cross-tissue transcriptome-wide association study identifies novel susceptibility genes for lung cancer in Chinese populations.","Human molecular genetics","2021"
"24400111","Recurrence of early stage colon cancer predicted by expression pattern of circulating microRNAs.","PloS one","2014"
"39799269","The role of mitophagy-related genes in prognosis and immunotherapy of cutaneous melanoma: a comprehensive analysis based on single-cell RNA sequencing and machine learning.","Immunologic research","2025"
"24448331","Adenomatous Polyposis Coli, mismatch repair, and microsatellite instability in colorectal cancer based on different locations.","Acta medica Indonesiana","2013"
"22294041","Identification of genes potentially involved in bone metastasis by genome-wide gene expression profile analysis of non-small cell lung cancer in mice.","International journal of oncology","2012"
"32493953","Genome-wide transcriptome profiling of ex-vivo precision-cut slices from human pancreatic ductal adenocarcinoma.","Scientific reports","2020"
"22559975","Identification of differentially expressed genes in gastric cancer by high density cDNA microarray.","Cancer genetics","2012"
"24820496","[A preliminary study on genome-wide expression profiling of laryngeal squamous cell carcinoma].","Zhonghua er bi yan hou tou jing wai ke za zhi = Chinese journal of otorhinolaryngology head and neck surgery","2014"
"39420005","Computational identification of surface markers for isolating distinct subpopulations from heterogeneous cancer cell populations.","NPJ systems biology and applications","2024"
"26743005","Effects on the transcriptome upon deletion of a distal element cannot be predicted by the size of the H3K27Ac peak in human cells.","Nucleic acids research","2016"
"40806320","Single-Cell Dissection of the Serrated Pathway: Cellular Heterogeneity and Genetic Causality in Colorectal Cancer.","International journal of molecular sciences","2025"
"32616754","Systems biology comprehensive analysis on breast cancer for identification of key gene modules and genes associated with TNM-based clinical stages.","Scientific reports","2020"
"32902196","Develop a circular RNA-related regulatory network associated with prognosis of gastric cancer.","Cancer medicine","2020"
"23870182","Bridging the clinical gaps: genetic, epigenetic and transcriptomic biomarkers for the early detection of lung cancer in the post-National Lung Screening Trial era.","BMC medicine","2013"
"38845201","Transcriptome-wide association analysis identifies candidate susceptibility genes for prostate-specific antigen levels in men without prostate cancer.","HGG advances","2024"
"23302999","Hypermethylation of TUSC5 genes in breast cancer tissue.","Experimental oncology","2012"
"38733992","A multi-tissue, splicing-based joint transcriptome-wide association study identifies susceptibility genes for breast cancer.","American journal of human genetics","2024"
"39729479","The combined use of scRNA-seq and network propagation highlights key features of pan-cancer Tumor-Infiltrating T cells.","PloS one","2024"
"21132402","Upregulated INHBA expression is associated with poor survival in gastric cancer.","Medical oncology (Northwood, London, England)","2012"
"21493669","Estrogen receptor β induces antiinflammatory and antitumorigenic networks in colon cancer cells.","Molecular endocrinology (Baltimore, Md.)","2011"
"30289875","Identification of Key Genes and Pathways Associated with RUNX1 Mutations in Acute Myeloid Leukemia Using Bioinformatics Analysis.","Medical science monitor : international medical journal of experimental and clinical research","2018"
"33077837","Finding disease modules for cancer and COVID-19 in gene co-expression networks with the Core&Peel method.","Scientific reports","2020"
"25411184","Gene expression profiling of circulating tumor cells in breast cancer.","Clinical chemistry","2015"
"27034531","Network Biomarkers of Bladder Cancer Based on a Genome-Wide Genetic and Epigenetic Network Derived from Next-Generation Sequencing Data.","Disease markers","2016"
"41539304","Epigenomic, transcriptomic, and proteomic characterization of breast cancer cell line reference samples.","Cell reports methods","2026"
"26845346","MicroRNA transcriptome profiling of mice brains infected with Japanese encephalitis virus by RNA sequencing.","Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases","2016"
"24793120","Differences in DNA methylation signatures reveal multiple pathways of progression from adenoma to colorectal cancer.","Gastroenterology","2014"
"41713536","Integration of TWAS with single-cell and spatial transcriptomics identifies TLR1 as a susceptibility gene and therapeutic target in the breast cancer tumor microenvironment.","International journal of biological macromolecules","2026"
"28647608","A route-based pathway analysis framework integrating mutation information and gene expression data.","Methods (San Diego, Calif.)","2017"
"20218734","Search for cancer risk factors with microarray-based genome-wide association studies.","Technology in cancer research & treatment","2010"
"22941191","Common variation at 6q16 within HACE1 and LIN28B influences susceptibility to neuroblastoma.","Nature genetics","2012"
"22129094","Characterization of an Opa interacting protein 5 involved in lung and esophageal carcinogenesis.","Cancer science","2012"
"26408534","Low-dose radiation affects cardiac physiology: gene networks and molecular signaling in cardiomyocytes.","American journal of physiology. Heart and circulatory physiology","2015"
"24077665","Tissue-specific isoform switch and DNA hypomethylation of the pyruvate kinase PKM gene in human cancers.","Oncotarget","2014"
"22445993","[Application of genome-wide microarray for screening genes related to peritoneal metastasis of colorectal cancer].","Nan fang yi ke da xue xue bao = Journal of Southern Medical University","2012"
"24807215","Integrated exome and transcriptome sequencing reveals ZAK isoform usage in gastric cancer.","Nature communications","2014"
"29936137","A Systems-Level Analysis Reveals Circadian Regulation of Splicing in Colorectal Cancer.","EBioMedicine","2018"
"25579546","Bioinformatics analysis of aggressive behavior of breast cancer via an integrated gene regulatory network.","Journal of cancer research and therapeutics","2014"
"21347779","Molecular profiling of colon tumors: the search for clinically relevant biomarkers of progression, prognosis, therapeutics, and predisposition.","Annals of surgical oncology","2011"
"23695551","Lineage relationship of Gleason patterns in Gleason score 7 prostate cancer.","Cancer research","2013"
"28472340","MiSTIC, an integrated platform for the analysis of heterogeneity in large tumour transcriptome datasets.","Nucleic acids research","2017"
"24739237","Integrative analyses of genetic variation, epigenetic regulation, and the transcriptome to elucidate the biology of platinum sensitivity.","BMC genomics","2014"
"32869528","Genome-wide DNA methylation analysis by MethylRad and the transcriptome profiles reveal the potential cancer-related lncRNAs in colon cancer.","Cancer medicine","2020"
"24233782","Determining the effect of DNA methylation on gene expression in cancer cells.","Methods in molecular biology (Clifton, N.J.)","2014"
"26829059","Identification of a new locus and validation of previously reported loci showing differential methylation associated with smoking. The REGICOR study.","Epigenetics","2015"
"23603922","Prostate cancer research in China.","Asian journal of andrology","2013"
"34019289","Genome-Wide Analysis of c-MYC-Regulated mRNAs and miRNAs and c-MYC DNA-Binding by Next-Generation Sequencing.","Methods in molecular biology (Clifton, N.J.)","2021"
"27842508","Global DNA methylation profiling uncovers distinct methylation patterns of protocadherin alpha4 in metastatic and non-metastatic rhabdomyosarcoma.","BMC cancer","2016"
"24886783","Systematic pathway enrichment analysis of a genome-wide association study on breast cancer survival reveals an influence of genes involved in cell adhesion and calcium signaling on the patients' clinical outcome.","PloS one","2014"
"33196801","NONCODEV6: an updated database dedicated to long non-coding RNA annotation in both animals and plants.","Nucleic acids research","2021"
"28742165","System analysis identifies distinct and common functional networks governed by transcription factor ASCL1, in glioma and small cell lung cancer.","Molecular bioSystems","2017"
"27094684","Genome-wide profiles of methylation, microRNAs, and gene expression in chemoresistant breast cancer.","Scientific reports","2016"
"28152060","Expression Quantitative Trait loci (QTL) in tumor adjacent normal breast tissue and breast tumor tissue.","PloS one","2017"
"40775447","Isoform-level analyses of 6 cancers uncover extensive genetic risk mechanisms undetected at the gene-level.","British journal of cancer","2025"
"22363440","cis-Expression QTL analysis of established colorectal cancer risk variants in colon tumors and adjacent normal tissue.","PloS one","2012"
