"Gene","Tissue_Count","Best_QValue","Best_Empirical_PValue","Best_PValue","Mean_Abs_Log2_AFC","Example_Tissues","Gencode_ID","Phenotype","Selected_Tissues"
"ITGB3BP",7,4.3313e-192,9.0131e-195,2.73458e-215,1.29282014285714,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000142856.16","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"CCDC163",7,4.37518e-192,9.86313e-195,6.83512e-217,2.19302442857143,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000280670.2","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"CMB9-55F22.1",7,4.71583e-174,1.22666e-176,2.32012e-193,1.477899,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000279672.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"AP000350.5",7,1.05615e-169,3.11352e-172,5.94941e-186,6.58120114285714,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000273295.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"PSPHP1",7,1.50891e-168,4.70988e-171,1.91715e-205,5.79971785714286,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000226278.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"MAN2C1",7,7.367e-163,2.55503e-165,5.20569e-190,0.623630857142857,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000140400.16","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"RP11-526I2.5",7,1.74002e-160,6.63824e-163,5.8891e-180,2.46954928571429,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000270127.2","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"AC005154.6",7,1.03103e-156,4.64858e-159,2.30252e-175,1.04035257142857,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000196295.11","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"GLIPR1L2",7,3.58544e-155,1.67873e-157,1.11229e-174,2.23808142857143,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000180481.10","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"LRRC37A4P",7,4.3466e-153,2.11049e-155,4.67266e-175,5.14015885714286,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000214425.7","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"SLC25A41",7,4.92362e-153,2.47604e-155,1.95086e-169,3.00673357142857,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000181240.13","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"RP11-298I3.6",7,7.72729e-153,4.01998e-155,4.87682e-169,4.63410814285714,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000279656.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"CEP192",7,8.45173e-153,4.62005e-155,6.87063e-172,1.06353442857143,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000101639.18","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"FLYWCH1",7,8.45173e-153,4.68998e-155,3.85197e-170,1.02994642857143,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000059122.16","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"MTRF1L",7,6.20275e-151,3.87224e-153,6.7987e-172,0.830198714285714,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000112031.15","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"PILRB",7,3.90057e-149,2.63796e-151,1.92133e-171,0.855479428571429,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000121716.20","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"RP11-996F15.2",7,4.5142e-149,3.13124e-151,5.56894e-167,1.506637,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000257176.2","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"MIF-AS1",7,1.99502e-142,1.72979e-144,6.56614e-160,3.80627357142857,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000218537.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"GBP3",7,9.26496e-142,8.19387e-144,2.76872e-163,1.72222685714286,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000117226.11","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"FAM118A",7,5.82264e-139,1.10931e-141,3.1296e-155,2.58142,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000100376.11","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"PPIE",7,4.65524e-136,1.24166e-138,2.76125e-154,0.872441,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000084072.16","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"THNSL2",7,2.80902e-134,3.36108e-136,4.32344e-150,3.45212571428571,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000144115.16","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"AC091729.9",7,5.74926e-133,7.17827e-135,1.41063e-148,1.29170257142857,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000229043.2","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"SLC35E2B",7,9.11994e-133,1.15449e-134,2.95416e-147,1.12710485714286,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000189339.11","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"DDX11L2",7,5.52899e-132,7.09501e-134,2.55258e-150,2.73925971428571,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000236397.3","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
