"Gene","Entrez_ID","PMID_Count","Supporting_PMIDs","Phenotype","Source"
"SLC6A4","6532",3,"17563839;20488209;27191890","migraine","PubMed+PubTator3"
"STX1A","6804",3,"27191890;37254524;37380951","migraine","PubMed+PubTator3"
"TGFB1","7040",3,"19559392;38867170;39841246","migraine","PubMed+PubTator3"
"TGFB3","7043",3,"38867170;39841246;41097341","migraine","PubMed+PubTator3"
"TREX1","11277",3,"28271496;37592229;41147997","migraine","PubMed+PubTator3"
"TSPAN2","10100",3,"23793025;26231841;32046629","migraine","PubMed+PubTator3"
"tumor necrosis factor","7124",3,"17635597;20035431;24959879","migraine","PubMed+PubTator3"
"TWIK-related spinal cord potassium channel","338567",3,"20871611;23919895;34199759","migraine","PubMed+PubTator3"
"VEGF","7422",3,"20482220;22865486;27560467","migraine","PubMed+PubTator3"
"5-HT1A","3350",2,"17417740;19936617","migraine","PubMed+PubTator3"
"5-HTT","6532",2,"15642926;21450309","migraine","PubMed+PubTator3"
"ABO","28",2,"33795393;37884687","migraine","PubMed+PubTator3"
"ADARB2","105",2,"22678113;25916332","migraine","PubMed+PubTator3"
"ADRA2B","151",2,"20651814;32632093","migraine","PubMed+PubTator3"
"AJAP1","55966",2,"23793025;26231841","migraine","PubMed+PubTator3"
"Akt","207",2,"32121467;33178826","migraine","PubMed+PubTator3"
"apolipoprotein E","348",2,"11755252;23660682","migraine","PubMed+PubTator3"
"Apolipoprotein E","348",2,"11755252;26264634","migraine","PubMed+PubTator3"
"ATP1A3","478",2,"25476251;33126486","migraine","PubMed+PubTator3"
"ATP1A4","480",2,"12119109;33126486","migraine","PubMed+PubTator3"
"BCAR1","9564",2,"36292730;40826382","migraine","PubMed+PubTator3"
"beta-catenin","84353;1499",2,"27706811;35546551","migraine","PubMed+PubTator3"
"BTBD16","118663",2,"36739509;41345547","migraine","PubMed+PubTator3"
"c-fos","2353;314322",2,"15546262;40747904","migraine","PubMed+PubTator3"
"C7orf10","79783",2,"23793025;26231841","migraine","PubMed+PubTator3"
"Cacna1a","12286;25398",2,"17376154;29723522","migraine","PubMed+PubTator3"
"CACNB2","783",2,"18676988;34273149","migraine","PubMed+PubTator3"
"CACNL1A4","773",2,"10766892;8898206","migraine","PubMed+PubTator3"
"calcitonin gene-related peptide","796;24241",2,"21195698;40747904","migraine","PubMed+PubTator3"
"CaV2.1","12286;773",2,"23985897;30080864","migraine","PubMed+PubTator3"
"CD5","921",2,"39279254;41163282","migraine","PubMed+PubTator3"
"CD6","923",2,"39279254;41163282","migraine","PubMed+PubTator3"
"CFDP1","10428",2,"36292730;41315928","migraine","PubMed+PubTator3"
"CHD4","1108",2,"38867170;41097341","migraine","PubMed+PubTator3"
"COL4A1","1282",2,"28185542;28271496","migraine","PubMed+PubTator3"
"CSNK1D","1453",2,"28271496;41147997","migraine","PubMed+PubTator3"
"CYP1A2","1544",2,"20213484;20652353","migraine","PubMed+PubTator3"
"CYP2D6","1565",2,"10759887;27288795","migraine","PubMed+PubTator3"
"CYP3A4","1576",2,"20213484;36773010","migraine","PubMed+PubTator3"
"dopamine beta hydroxylase","1621",2,"19219470;26868704","migraine","PubMed+PubTator3"
"DRD3","1814",2,"19772578;9748026","migraine","PubMed+PubTator3"
"EDNRA","1909",2,"16618267;23058564","migraine","PubMed+PubTator3"
"EGF","1950",2,"20038773;33767277","migraine","PubMed+PubTator3"
"endothelial nitric oxide synthase","4846",2,"17115991;24845269","migraine","PubMed+PubTator3"
"EP300","2033",2,"38867170;40468199","migraine","PubMed+PubTator3"
"ER","2069",2,"37730543;40121175","migraine","PubMed+PubTator3"
"FGFRL1","53834",2,"38867170;41233745","migraine","PubMed+PubTator3"
"GABRA3","2556",2,"19087248;24040174","migraine","PubMed+PubTator3"
"GABRE","2564",2,"19087248;24040174","migraine","PubMed+PubTator3"
"GRIA4","2893",2,"20579352;24512576","migraine","PubMed+PubTator3"
"GSTM1","2944",2,"10759887;12736537","migraine","PubMed+PubTator3"
"haptoglobin","3240",2,"40935254;7553809","migraine","PubMed+PubTator3"
"ICA1L","130026",2,"37592229;41315928","migraine","PubMed+PubTator3"
"iNOS","4843",2,"11424980;22865486","migraine","PubMed+PubTator3"
"INSR","3643",2,"14624354;16473310","migraine","PubMed+PubTator3"
"ITPK1","3705",2,"19153782;36807966","migraine","PubMed+PubTator3"
"KCNN3","3782",2,"15705118;16162291","migraine","PubMed+PubTator3"
"LDLR","3949",2,"12873747;15546598","migraine","PubMed+PubTator3"
"MAO-A","4128",2,"15088153;15694196","migraine","PubMed+PubTator3"
"MDR1","5243",2,"16542858;27288795","migraine","PubMed+PubTator3"
"metadherin","92140",2,"21448238;30382894","migraine","PubMed+PubTator3"
"MHC","3107",2,"36631270;36814110","migraine","PubMed+PubTator3"
"MLLT10","8028",2,"36914876;40121175","migraine","PubMed+PubTator3"
"MMP16","4325",2,"23793025;26231841","migraine","PubMed+PubTator3"
"MTRR","4552",2,"22926161;39930676","migraine","PubMed+PubTator3"
"NCOR2","9612",2,"35166138;41097341","migraine","PubMed+PubTator3"
"NF-kappaB","4790",2,"33155547;40419944","migraine","PubMed+PubTator3"
"NOS3","4846",2,"19559392;19661472","migraine","PubMed+PubTator3"
"NR1D1","9572",2,"38867170;41097341","migraine","PubMed+PubTator3"
"ONECUT2","9480",2,"36939796;37254524","migraine","PubMed+PubTator3"
"Paraoxonase 1","5444",2,"20407783;21755523","migraine","PubMed+PubTator3"
"PLXNB1","5364",2,"38867170;39841246","migraine","PubMed+PubTator3"
"PNKP","11284",2,"37415806;39578729","migraine","PubMed+PubTator3"
"PR","5241",2,"15654614;30382894","migraine","PubMed+PubTator3"
"progesterone receptor","5241",2,"15654614;17609999","migraine","PubMed+PubTator3"
"renin","5972",2,"19178574;41261954","migraine","PubMed+PubTator3"
"SCN11A","11280",2,"37884687;41372126","migraine","PubMed+PubTator3"
"SCN9A","6335",2,"18676988;34969212","migraine","PubMed+PubTator3"
"SERPING1","710",2,"41288865;41315928","migraine","PubMed+PubTator3"
"SIRT1","23411",2,"40468199;40802209","migraine","PubMed+PubTator3"
"SLC1A3","6507",2,"33126486;38927733","migraine","PubMed+PubTator3"
"SLC24A3","57419",2,"34654805;39333847","migraine","PubMed+PubTator3"
"SLC4A4","8671",2,"33126486;38927733","migraine","PubMed+PubTator3"
"SLC6A3","6531",2,"19152006;19772578","migraine","PubMed+PubTator3"
"SLC9B1","150159",2,"34273149;36739509","migraine","PubMed+PubTator3"
"SNAP25","6616",2,"37254524;37380951","migraine","PubMed+PubTator3"
"TGFBR2","7048",2,"22683712;24266335","migraine","PubMed+PubTator3"
"THADA","63892",2,"34635557;36807966","migraine","PubMed+PubTator3"
"THRA","7067",2,"38867170;41097341","migraine","PubMed+PubTator3"
"TNF-beta","4049",2,"23811028;24959879","migraine","PubMed+PubTator3"
"TNFA","7124",2,"20035431;24698360","migraine","PubMed+PubTator3"
"TRESK","338567",2,"20871611;34199759","migraine","PubMed+PubTator3"
"TRIM32","22954",2,"32121467;37606917","migraine","PubMed+PubTator3"
"tyrosine hydroxylase","25085;21823",2,"18976638;23985897","migraine","PubMed+PubTator3"
"UBE2L6","9246",2,"39261750;41288865","migraine","PubMed+PubTator3"
"VAMP2","6844",2,"37254524;37380951","migraine","PubMed+PubTator3"
"5-HT transporter","6532",1,"14668201","migraine","PubMed+PubTator3"
"5-HT(1B)","3351",1,"18035351","migraine","PubMed+PubTator3"
"5-HT1A receptor","3350",1,"17417740","migraine","PubMed+PubTator3"
"5-HT1B","3351",1,"19936617","migraine","PubMed+PubTator3"
"5-HT2A","3356",1,"19936617","migraine","PubMed+PubTator3"
"5-HT2a receptor","3356",1,"14668201","migraine","PubMed+PubTator3"
"5-HT2A receptor","3356",1,"14668201","migraine","PubMed+PubTator3"
"5-HT2C (serotonin-2C) receptor","3358",1,"9295094","migraine","PubMed+PubTator3"
"5-HT2C receptor","3358",1,"9295094","migraine","PubMed+PubTator3"
"5'-10'-methylenetetrahydrofolate reductase","4524",1,"19619240","migraine","PubMed+PubTator3"
"5HT1B,5HT2A","3351;3356",1,"19936617","migraine","PubMed+PubTator3"
"5HT2A receptor","3356",1,"8933989","migraine","PubMed+PubTator3"
"5HT6","3362",1,"19936617","migraine","PubMed+PubTator3"
"5HTT","6532",1,"19936617","migraine","PubMed+PubTator3"
"5HTTLPR","6532",1,"20488209","migraine","PubMed+PubTator3"
"AADAC","13",1,"41345547","migraine","PubMed+PubTator3"
"ACKR3","57007",1,"41001447","migraine","PubMed+PubTator3"
"ACO2","50",1,"40826382","migraine","PubMed+PubTator3"
"ACSL5","51703",1,"27189022","migraine","PubMed+PubTator3"
"ACTH","5443",1,"22013108","migraine","PubMed+PubTator3"
"ACVR2A","92",1,"26105260","migraine","PubMed+PubTator3"
"ADARB1","104",1,"25916332","migraine","PubMed+PubTator3"
"adenosine deaminase","100",1,"7553809","migraine","PubMed+PubTator3"
"adenosine deaminase,","100",1,"25916332","migraine","PubMed+PubTator3"
"ADGRF5","221395",1,"38898596","migraine","PubMed+PubTator3"
"ADGRL2","23266",1,"34972135","migraine","PubMed+PubTator3"
"ADH","10327",1,"19486361","migraine","PubMed+PubTator3"
"ADH 1B","125",1,"19486361","migraine","PubMed+PubTator3"
"ADH2","125",1,"19486361","migraine","PubMed+PubTator3"
"ADH3","126",1,"19486361","migraine","PubMed+PubTator3"
"adherens junctions associated protein 1","55966",1,"26231841","migraine","PubMed+PubTator3"
"AGTR1","185",1,"19178574","migraine","PubMed+PubTator3"
"AHR","196",1,"41001447","migraine","PubMed+PubTator3"
"Alcohol-dehydrogenase","10327",1,"19486361","migraine","PubMed+PubTator3"
"Aldh1a3","266603",1,"27706811","migraine","PubMed+PubTator3"
"ALMS1","7840",1,"41261954","migraine","PubMed+PubTator3"
"alpha-1-antitrypsin","5265",1,"7553809","migraine","PubMed+PubTator3"
"alpha(2B)-adrenergic receptor","151",1,"20651814","migraine","PubMed+PubTator3"
"alpha2","170589",1,"16037212","migraine","PubMed+PubTator3"
"amyloid precursor protein","351",1,"10818516","migraine","PubMed+PubTator3"
"androgen receptor","367",1,"15654614","migraine","PubMed+PubTator3"
"angiotensin converting enzyme","1636",1,"18366776","migraine","PubMed+PubTator3"
"angiotensin I converting enzyme","1636",1,"27483173","migraine","PubMed+PubTator3"
