"Gene_Symbol","Gene_Name","MIM_Number","Entry_Title","Search_Term","Phenotype_Map","Inheritance","Entrez_GeneIDs","Ensembl_IDs","Source"
"BAP1","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BARD1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BARD1","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BARD1","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BARD1","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BASAL","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BASAL","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BAX","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BAX","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BAX","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BAX","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BCAR1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BCAS1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BCL10","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BCL10","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BCNS1","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BCNS1","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BECKWITH","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BECKWITH-","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BETA","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BETA-1","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BHD1","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BINDING","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BINDING","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BINDING","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BIOSYNTHESIS","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BIRT","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BIRT-HOGG-DUBE","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BLACAT1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BLACAT1","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BLADDER","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BLADDER","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BLASTOMA","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BLCAP","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BLCAP","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BLM","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BLOOM","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BMPR1A","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BMPR1A","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BMPR1A","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BMPR1A","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BONE","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BONE","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BOUND","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BOWEL","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BOX","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BOX","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BOX","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BOX-CONTAINING","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRAF","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRAF","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRAF","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRAF","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRAIN","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRAIN","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRAIN","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRAIN","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRAIN-ENRICHED","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRCA1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRCA1","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRCA1","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRCA1","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRCA2","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRCA2","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRCA2","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRCA2","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BREAST","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BREAST","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BREAST","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BREAST","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BREAST-OVARIAN","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BREAST-OVARIAN","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BREAST-OVARIAN","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BREAST-OVARIAN","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRINP1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRINP1","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRIP1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRIP1","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRIP1","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRIP1","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BRMS1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BROVCA1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BROVCA1","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BROVCA1","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BROVCA1","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BROVCA2","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BROVCA2","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BROVCA2","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BROVCA3","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BROVCA3","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BROVCA3","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BROVCA4","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BROVCA5","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BROVCA5","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BUB1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BUB1","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BUB1","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BUB1","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BUB1B","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BUB1B","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BUB1B","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BUB1B","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BWCR","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BWS","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C16","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C16","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C16","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C16","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C18","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C18","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C18","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C18","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C22","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C22","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C22","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C22","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C34","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C34","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C34","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C50","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C50","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C50","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C50","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C50-C50","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C50-C50","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C50-C50","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C50-C50","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C56","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C56","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C56","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C56","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C61","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C61","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C61","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C67","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C67","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C81","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C81","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C83","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C85","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C85","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C85","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"C91","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
