"Gene","UniProt_ID","Protein_Name","Source","Query_Type"
"MAGE2","P43356","Melanoma-associated antigen 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGE3","P43357","Melanoma-associated antigen 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGE4","P43358","Melanoma-associated antigen 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGE6","P43360","Melanoma-associated antigen 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGE8","P43361","Melanoma-associated antigen 8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEA1","P43355","Melanoma-associated antigen 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEA11","P43364","Melanoma-associated antigen 11","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEA12","P43365","Melanoma-associated antigen 12","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEA2","P43356","Melanoma-associated antigen 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEA2A","P43356","Melanoma-associated antigen 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEA2B","P43356","Melanoma-associated antigen 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEA3","P43357","Melanoma-associated antigen 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEA4","P43358","Melanoma-associated antigen 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEA6","P43360","Melanoma-associated antigen 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEA8","P43361","Melanoma-associated antigen 8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEB2","O15479","Melanoma-associated antigen B2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEB6","Q8N7X4","Melanoma-associated antigen B6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEC1","O60732","Melanoma-associated antigen C1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEC2","Q9UBF1","Melanoma-associated antigen C2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEC3","Q8TD91","Melanoma-associated antigen C3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGED2","Q9UNF1","Melanoma-associated antigen D2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGEE1","Q9UBF1","Melanoma-associated antigen C2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAGP1","P55001","Microfibrillar-associated protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MANF","P55145","Mesencephalic astrocyte-derived neurotrophic factor","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAP1B","P46821","Microtubule-associated protein 1B","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAP2K3","P46734","Dual specificity mitogen-activated protein kinase kinase 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAP3K8","P41279","Mitogen-activated protein kinase kinase kinase 8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAP3K9","P80192","Mitogen-activated protein kinase kinase kinase 9","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAPK12","P53778","Mitogen-activated protein kinase 12","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAPK6","Q16659","Mitogen-activated protein kinase 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MAPK8IP4","O60271","C-Jun-amino-terminal kinase-interacting protein 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MBC1","Q8NEF3","Coiled-coil domain-containing protein 112","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MCC","P23508","Colorectal mutant cancer protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MCC2","Q8N6Y0","Harmonin-binding protein USHBP1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MCF3","P08922","Proto-oncogene tyrosine-protein kinase ROS","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MCH4","Q92851","Caspase-10","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MCH5","Q14790","Caspase-8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MCM3","P25205","DNA replication licensing factor MCM3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MCM4","P33991","DNA replication licensing factor MCM4","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MDM4","O15151","Protein Mdm4","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MDMX","O15151","Protein Mdm4","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MDU1","P08195","Amino acid transporter heavy chain SLC3A2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MEA11","Q96PC5","Melanoma inhibitory activity protein 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MEA6","Q96PC5","Melanoma inhibitory activity protein 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MED19","A0JLT2","Mediator of RNA polymerase II transcription subunit 19","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MED6","O75586","Mediator of RNA polymerase II transcription subunit 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MEK3","P46734","Dual specificity mitogen-activated protein kinase kinase 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MELK","Q14680","Maternal embryonic leucine zipper kinase","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MERP1","Q9UM22","Mammalian ependymin-related protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MESD","Q14696","LRP chaperone MESD","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MESDC2","Q14696","LRP chaperone MESD","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MESDM","Q14696","LRP chaperone MESD","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MET","P08581","Hepatocyte growth factor receptor","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"METTL13","Q8N6R0","eEF1A lysine and N-terminal methyltransferase","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MFAP2","P55001","Microfibrillar-associated protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MGAT4A","Q9UM21","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MGAT4B","Q9UQ53","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MGEA11","Q96PC5","Melanoma inhibitory activity protein 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MGEA6","Q96PC5","Melanoma inhibitory activity protein 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MIA2","Q96PC5","Melanoma inhibitory activity protein 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MIC1","Q96DM3","Regulator of MON1-CCZ1 complex","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MIC18","P16422","Epithelial cell adhesion molecule","UniProt","(keyword:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MINPP1","Q9UNW1","Multiple inositol polyphosphate phosphatase 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MIPP","Q9UNW1","Multiple inositol polyphosphate phosphatase 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MIS18B","O43482","Protein Mis18-beta","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MKK3","P46734","Dual specificity mitogen-activated protein kinase kinase 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MKP8","Q9BV47","Dual specificity protein phosphatase 26","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MLCK","Q15746","Myosin light chain kinase, smooth muscle","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MLCK1","Q15746","Myosin light chain kinase, smooth muscle","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MLH1","P40692","DNA mismatch repair protein Mlh1","UniProt","(keyword:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MLH3","Q9UHC1","DNA mismatch repair protein Mlh3","UniProt","(keyword:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MLK1","P80192","Mitogen-activated protein kinase kinase kinase 9","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MLN19","P04626","Receptor tyrosine-protein kinase erbB-2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MLN51","O15234","Protein CASC3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MMAC1","P60484","Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MNF1","Q9BRT2","Ubiquinol-cytochrome c reductase complex assembly factor 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MO3","Q03405","Urokinase plasminogen activator surface receptor","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MORC","Q86VD1","MORC family CW-type zinc finger protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MORC1","Q86VD1","MORC family CW-type zinc finger protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MPF","Q13421","Mesothelin","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MPHOSPH1","Q96Q89","Kinesin-like protein KIF20B","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MR1","Q95460","Major histocompatibility complex class I-related protein 1","UniProt","(ft_mutagen:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MRE11","P49959","Double-strand break repair protein MRE11","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MRE11A","P49959","Double-strand break repair protein MRE11","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MRF2","Q14865","AT-rich interactive domain-containing protein 5B","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MRGBP","Q9NV56","MRG/MORF4L-binding protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MRPP1","Q7L0Y3","tRNA methyltransferase 10 homolog C","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MSAP","Q13126","S-methyl-5'-thioadenosine phosphorylase","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MSH2","P43246","DNA mismatch repair protein Msh2","UniProt","(keyword:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MSH3","P20585","DNA mismatch repair protein Msh3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MSH6","P52701","DNA mismatch repair protein Msh6","UniProt","(keyword:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MSL1V1","Q7Z3B3","KAT8 regulatory NSL complex subunit 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MSLN","Q13421","Mesothelin","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MSMB","P08118","Beta-microseminoprotein","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MSR1","P21757","Macrophage scavenger receptor types I and II","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MT-CO1","P00395","Cytochrome c oxidase subunit 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MT-CO2","P00403","Cytochrome c oxidase subunit 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MT-CYB","P00156","Cytochrome b","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MT-ND4L","P03901","NADH-ubiquinone oxidoreductase chain 4L","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MTA1","Q13330","Metastasis-associated protein MTA1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MTAP","Q13126","S-methyl-5'-thioadenosine phosphorylase","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MTCO1","P00395","Cytochrome c oxidase subunit 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MTCO2","P00403","Cytochrome c oxidase subunit 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MTCYB","P00156","Cytochrome b","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MTHFC","P11586","C-1-tetrahydrofolate synthase, cytoplasmic","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MTHFD","P11586","C-1-tetrahydrofolate synthase, cytoplasmic","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MTHFD1","P11586","C-1-tetrahydrofolate synthase, cytoplasmic","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MTHFR","P42898","Methylenetetrahydrofolate reductase (NADPH)","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MTNAP1","Q9BSJ5","Mitochondrial nucleoid-associated protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MTND4L","P03901","NADH-ubiquinone oxidoreductase chain 4L","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MTS1","P42771","Cyclin-dependent kinase inhibitor 2A","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MTSG1","Q9ULD2","Microtubule-associated tumor suppressor 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MTUS1","Q9ULD2","Microtubule-associated tumor suppressor 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MUC1","P15941","Mucin-1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MUC13","Q9H3R2","Mucin-13","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MUC14","Q9ULC0","Endomucin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MUC16","Q8WXI7","Mucin-16","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MUC5","Q9HC84","Mucin-5B","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MUC5B","Q9HC84","Mucin-5B","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MUTYH","Q9UIF7","Adenine DNA glycosylase","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MXI1","P50539","Max-interacting protein 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MXR","Q9UNQ0","Broad substrate specificity ATP-binding cassette transporter ABCG2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MXRA5","Q9NR99","Matrix-remodeling-associated protein 5","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MYH","Q9UIF7","Adenine DNA glycosylase","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MYLK","Q15746","Myosin light chain kinase, smooth muscle","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MYLK1","Q15746","Myosin light chain kinase, smooth muscle","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"MYNE1","Q8NF91","Nesprin-1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"N4WBP5","Q9BT67","NEDD4 family-interacting protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NAA15","Q9BXJ9","N-alpha-acetyltransferase 15, NatA auxiliary subunit","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NABC1","O75363","Breast carcinoma-amplified sequence 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NACHRA3","P32297","Neuronal acetylcholine receptor subunit alpha-3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NACHRA5","P30532","Neuronal acetylcholine receptor subunit alpha-5","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NACHRA7","P36544","Neuronal acetylcholine receptor subunit alpha-7","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NACSIN","Q8NDI1","EH domain-binding protein 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NADH4L","P03901","NADH-ubiquinone oxidoreductase chain 4L","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NAF1","Q96HR8","H/ACA ribonucleoprotein complex non-core subunit NAF1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NALP4","Q96MN2","NACHT, LRR and PYD domains-containing protein 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NARG1","Q9BXJ9","N-alpha-acetyltransferase 15, NatA auxiliary subunit","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NATA1","Q9BV47","Dual specificity protein phosphatase 26","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NATH","Q9BXJ9","N-alpha-acetyltransferase 15, NatA auxiliary subunit","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NBN","O60934","Nibrin","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NBS","O60934","Nibrin","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NBS1","O60934","Nibrin","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NCOA1","Q15788","Nuclear receptor coactivator 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NCOA6","Q14686","Nuclear receptor coactivator 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NCS6","Q7Z7A3","Cytoplasmic tRNA 2-thiolation protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ND4L","P03901","NADH-ubiquinone oxidoreductase chain 4L","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NDC80","O14777","Kinetochore protein NDC80 homolog","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NDF","Q02297","Pro-neuregulin-1, membrane-bound isoform","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NDFIP1","Q9BT67","NEDD4 family-interacting protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NDUFA13","Q9P0J0","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NDUFC2","O95298","NADH dehydrogenase [ubiquinone] 1 subunit C2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NDUFV3","P56181","NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NECC1","Q9BPY8","Homeodomain-only protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NECL2","Q9BY67","Cell adhesion molecule 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NEDD9","Q14511","Enhancer of filamentation 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NEFA","P80303","Nucleobindin-2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NEK1","Q96PY6","Serine/threonine-protein kinase Nek1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NEMF","O60524","Ribosome quality control complex subunit NEMF","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NEU","P04626","Receptor tyrosine-protein kinase erbB-2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NF1","P21359","Neurofibromin","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NGEP","Q6IWH7","Anoctamin-7","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NGL","P04626","Receptor tyrosine-protein kinase erbB-2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NHL","Q9NZ71","Regulator of telomere elongation helicase 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NIPP1","Q12972","Nuclear inhibitor of protein phosphatase 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NKX2-1","P43699","Homeobox protein Nkx-2.1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NKX2A","P43699","Homeobox protein Nkx-2.1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NLRP4","Q96MN2","NACHT, LRR and PYD domains-containing protein 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NMB","Q14956","Transmembrane glycoprotein NMB","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NOHMA","Q86X24","HORMA domain-containing protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NOLA3","Q9NPE3","H/ACA ribonucleoprotein complex subunit 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NOP10","Q9NPE3","H/ACA ribonucleoprotein complex subunit 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NP95","Q96T88","E3 ubiquitin-protein ligase UHRF1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NPHP10","Q86SQ7","Serologically defined colon cancer antigen 8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NPHP6","O15078","Centrosomal protein of 290 kDa","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NR1C3","P37231","Peroxisome proliferator-activated receptor gamma","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NR3C4","P10275","Androgen receptor","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NRAS","P01111","GTPase NRas","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NRG1","Q02297","Pro-neuregulin-1, membrane-bound isoform","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NRPN","O60259","Kallikrein-8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NSL1","Q7Z3B3","KAT8 regulatory NSL complex subunit 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NSP2","O75815","Breast cancer anti-estrogen resistance protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NTPCR","Q9BSD7","Cancer-related nucleoside-triphosphatase","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NUB1","Q9Y5A7","NEDD8 ultimate buster 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NUCB2","P80303","Nucleobindin-2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NUCKS","Q9H1E3","Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NUCKS1","Q9H1E3","Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NUP107","P57740","Nuclear pore complex protein Nup107","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NUPR1","O60356","Nuclear protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NXF2","Q9GZY0","Nuclear RNA export factor 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NXF2B","Q9GZY0","Nuclear RNA export factor 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"NYREN18","Q9Y5A7","NEDD8 ultimate buster 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OATP6A1","Q86UG4","Solute carrier organic anion transporter family member 6A1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OB1","Q9BPY8","Homeodomain-only protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OBCAM","Q14982","Opioid-binding protein/cell adhesion molecule","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OCIA","Q9NX40","OCIA domain-containing protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OCIAD1","Q9NX40","OCIA domain-containing protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OCIF","O00300","Tumor necrosis factor receptor superfamily member 11B","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OCR","Q9Y657","Spindlin-1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OGDH","Q02218","2-oxoglutarate dehydrogenase complex component E1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OGR1","Q15743","G-protein coupled receptor 68","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OIP106","Q9UPV9","Trafficking kinesin-binding protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OIP5","O43482","Protein Mis18-beta","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OLA1","Q9NTK5","Obg-like ATPase 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OPCML","Q14982","Opioid-binding protein/cell adhesion molecule","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OPG","O00300","Tumor necrosis factor receptor superfamily member 11B","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ORAOV1","Q8WV07","Protein LTO1 homolog","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ORAOV2","Q5XXA6","Anoctamin-1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ORCTL2","Q96BI1","Solute carrier family 67 member A1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"OSSA","Q9NZB2","Constitutive coactivator of PPAR-gamma-like protein 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
