"Gene","UniProt_ID","Protein_Name","Source","Query_Type"
"BCOX1","Q14667","Bridge-like lipid transfer protein family member 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCR","P11274","Breakpoint cluster region protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCR1","P11274","Breakpoint cluster region protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCRM1","Q6P4A7","Sideroflexin-4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCRP","Q9UNQ0","Broad substrate specificity ATP-binding cassette transporter ABCG2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCRP1","Q9UNQ0","Broad substrate specificity ATP-binding cassette transporter ABCG2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCSG1","O76070","Gamma-synuclein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCUR1","O95751","Protein LDOC1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BEK","P21802","Fibroblast growth factor receptor 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BHD","Q8NFG4","Folliculin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BHLHC11","P50539","Max-interacting protein 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BHLHE74","Q15788","Nuclear receptor coactivator 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BIM","O43521","Bcl-2-like protein 11","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BIN2","Q9UBW5","Bridging integrator 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BIRC5","O15392","Baculoviral IAP repeat-containing protein 5","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BLCAP","P62952","Apoptosis inducing factor BLCAP","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BLOV1","Q7Z769","Solute carrier family 35 member E3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BLTP2","Q14667","Bridge-like lipid transfer protein family member 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BORIS","Q8NI51","Transcriptional repressor CTCFL","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BRAF","P15056","Serine/threonine-protein kinase B-raf","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BRAF1","P15056","Serine/threonine-protein kinase B-raf","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BRAP","Q7Z569","BRCA1-associated protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BRAP1","Q9UBW5","Bridging integrator 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BRCA1","P38398","Breast cancer type 1 susceptibility protein","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BRCA2","P51587","Breast cancer type 2 susceptibility protein","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BRCAA1","Q4LE39","AT-rich interactive domain-containing protein 4B","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BRDT","Q58F21","Bromodomain testis-specific protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BRG1","P51532","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BRINP1","O60477","BMP/retinoic acid-inducible neural-specific protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BRIP1","Q9BX63","Fanconi anemia group J protein","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BRMS1","Q9HCU9","Breast cancer metastasis-suppressor 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BRMS1L","Q5PSV4","Breast cancer metastasis-suppressor 1-like protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BTBD12","Q8IY92","Structure-specific endonuclease subunit SLX4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BTF","Q9NYF8","Bcl-2-associated transcription factor 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BUB1","O43683","Mitotic checkpoint serine/threonine-protein kinase BUB1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BUB1L","O43683","Mitotic checkpoint serine/threonine-protein kinase BUB1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BWR1A","Q96BI1","Solute carrier family 67 member A1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BWSCR1A","Q96BI1","Solute carrier family 67 member A1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C10orf3","Q53EZ4","Centrosomal protein of 55 kDa","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C10orf66","Q9H467","CUE domain-containing protein 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C10orf94","Q8N0S2","Synaptonemal complex central element protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C11orf17","Q9NQ31","A-kinase-interacting protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C11orf30","Q7Z589","BRCA2-interacting transcriptional repressor EMSY","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C11orf93","A8K830","POU class 2 homeobox associating factor 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C14orf39","Q8N1H7","Protein SIX6OS1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C15orf13","P09493","Tropomyosin alpha-1 chain","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C16orf47","Q15911","Zinc finger homeobox protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C16orf62","Q7Z3J2","VPS35 endosomal protein-sorting factor-like","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C17orf71","Q8ND04","Nonsense-mediated mRNA decay factor SMG8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C18orf6","Q9C091","GREB1-like protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C18orf8","Q96DM3","Regulator of MON1-CCZ1 complex","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C19orf29","Q8WUQ7","Splicing factor Cactin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C1orf10","Q9UBG3","Cornulin","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C1orf181","Q9NWK9","Box C/D snoRNA protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C1orf28","Q6P1J9","Parafibromin","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C1orf57","Q9BSD7","Cancer-related nucleoside-triphosphatase","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C1QDC1","Q6IMN6","Caprin-2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C20orf129","Q9H4H8","Protein FAM83D","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C20orf155","Q9UJA2","Cardiolipin synthase (CMP-forming)","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C20orf17","Q9NRE2","Teashirt homolog 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C20orf20","Q9NV56","MRG/MORF4L-binding protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C20orf21","Q9BYJ9","YTH domain-containing family protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C20orf41","Q9NZ71","Regulator of telomere elongation helicase 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C20orf42","Q9BQL6","Fermitin family homolog 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C20orf47","Q9Y282","Endoplasmic reticulum-Golgi intermediate compartment protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C20orf5","Q9NQQ7","Solute carrier family 35 member H1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C21orf112","P50990","T-complex protein 1 subunit theta","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C22orf20","Q9NST1","1-acylglycerol-3-phosphate O-acyltransferase PNPLA3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C2orf40","Q9H1Z8","Augurin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
