"Gene","HPO_ID","HPO_Term","Gene_ID","HPO_Term_Lower","Source","Match_Pattern"
"KCNA1","HP:0002076","Migraine","3736","migraine","HPO_Term_Exact","migraine"
"KCNJ10","HP:0002076","Migraine","3766","migraine","HPO_Term_Exact","migraine"
"KLRC4","HP:0002076","Migraine","8302","migraine","HPO_Term_Exact","migraine"
"KRAS","HP:0002076","Migraine","3845","migraine","HPO_Term_Exact","migraine"
"LGI1","HP:0002076","Migraine","9211","migraine","HPO_Term_Exact","migraine"
"LRRC7","HP:0002076","Migraine","57554","migraine","HPO_Term_Exact","migraine"
"MEFV","HP:0002076","Migraine","4210","migraine","HPO_Term_Exact","migraine"
"MICAL1","HP:0002076","Migraine","64780","migraine","HPO_Term_Exact","migraine"
"MLH1","HP:0002076","Migraine","4292","migraine","HPO_Term_Exact","migraine"
"MLX","HP:0002076","Migraine","6945","migraine","HPO_Term_Exact","migraine"
"MOG","HP:0002076","Migraine","4340","migraine","HPO_Term_Exact","migraine"
"MPL","HP:0002076","Migraine","4352","migraine","HPO_Term_Exact","migraine"
"MRPL39","HP:0002076","Migraine","54148","migraine","HPO_Term_Exact","migraine"
"MSH2","HP:0002076","Migraine","4436","migraine","HPO_Term_Exact","migraine"
"MSH6","HP:0002076","Migraine","2956","migraine","HPO_Term_Exact","migraine"
"MT-CO1","HP:0002076","Migraine","4512","migraine","HPO_Term_Exact","migraine"
"MT-CO2","HP:0002076","Migraine","4513","migraine","HPO_Term_Exact","migraine"
"MT-CO3","HP:0002076","Migraine","4514","migraine","HPO_Term_Exact","migraine"
"MT-CYB","HP:0002076","Migraine","4519","migraine","HPO_Term_Exact","migraine"
"MT-ND1","HP:0002076","Migraine","4535","migraine","HPO_Term_Exact","migraine"
"MT-ND4","HP:0002076","Migraine","4538","migraine","HPO_Term_Exact","migraine"
"MT-ND5","HP:0002076","Migraine","4540","migraine","HPO_Term_Exact","migraine"
"MT-ND6","HP:0002076","Migraine","4541","migraine","HPO_Term_Exact","migraine"
"MT-TC","HP:0002076","Migraine","4511","migraine","HPO_Term_Exact","migraine"
"MT-TF","HP:0002076","Migraine","4558","migraine","HPO_Term_Exact","migraine"
"MT-TH","HP:0002076","Migraine","4564","migraine","HPO_Term_Exact","migraine"
"MT-TK","HP:0002076","Migraine","4566","migraine","HPO_Term_Exact","migraine"
"MT-TL1","HP:0002076","Migraine","4567","migraine","HPO_Term_Exact","migraine"
"MT-TL2","HP:0002076","Migraine","4568","migraine","HPO_Term_Exact","migraine"
"MT-TQ","HP:0002076","Migraine","4572","migraine","HPO_Term_Exact","migraine"
"MT-TS1","HP:0002076","Migraine","4574","migraine","HPO_Term_Exact","migraine"
"MT-TS2","HP:0002076","Migraine","4575","migraine","HPO_Term_Exact","migraine"
"MT-TV","HP:0002076","Migraine","4577","migraine","HPO_Term_Exact","migraine"
"MT-TW","HP:0002076","Migraine","4578","migraine","HPO_Term_Exact","migraine"
"MUTYH","HP:0002076","Migraine","4595","migraine","HPO_Term_Exact","migraine"
"MVK","HP:0002076","Migraine","4598","migraine","HPO_Term_Exact","migraine"
"MYD88","HP:0002076","Migraine","4615","migraine","HPO_Term_Exact","migraine"
"MYORG","HP:0002076","Migraine","57462","migraine","HPO_Term_Exact","migraine"
"NAA60","HP:0002076","Migraine","79903","migraine","HPO_Term_Exact","migraine"
"NDP","HP:0002076","Migraine","4693","migraine","HPO_Term_Exact","migraine"
"NF1","HP:0002076","Migraine","4763","migraine","HPO_Term_Exact","migraine"
"NFIX","HP:0002076","Migraine","4784","migraine","HPO_Term_Exact","migraine"
