"Gene"
"CREB1; cAMP responsive element binding protein 1 [KO:K05870]"
"CREB3; cAMP responsive element binding protein 3 [KO:K09048]"
"CREB3L1; cAMP responsive element binding protein 3 like 1 [KO:K09048]"
"CREB3L2; cAMP responsive element binding protein 3 like 2 [KO:K09048]"
"CREB3L3; cAMP responsive element binding protein 3 like 3 [KO:K09048]"
"CREB3L4; cAMP responsive element binding protein 3 like 4 [KO:K09048]"
"CREB5; cAMP responsive element binding protein 5 [KO:K09047]"
"CREBBP; CREB binding lysine acetyltransferase [KO:K04498] [EC:2.3.1.48]"
"CREBBP; CREB binding protein [KO:K04498] [EC:2.3.1.48]"
"CREBBP; CREB-binding protein isoform a [KO:K04498] [EC:2.3.1.48]"
"CRK; adapter molecule crk isoform a [KO:K04438]"
"CRK; CRK proto-oncogene"
"CRKL; CRK like proto-oncogene"
"CRKL; crk-like protein [KO:K04438]"
"CSF1R; colony stimulating factor 1 receptor [KO:K05090] [EC:2.7.10.1]"
"CSF2; colony stimulating factor 2 [KO:K05427]"
"CSF2RA; colony stimulating factor 2 receptor subunit alpha [KO:K05066]"
"CSF2RB; colony stimulating factor 2 receptor subunit beta [KO:K04738]"
"CSF3R; colony stimulating factor 3 receptor [KO:K05061]"
"CSNK1A1; casein kinase 1 alpha 1 [KO:K08957] [EC:2.7.11.1]"
"CSNK1A1L; casein kinase 1 alpha 1 like [KO:K08957] [EC:2.7.11.1]"
"CSNK2A1; casein kinase 2 alpha 1 [KO:K03097] [EC:2.7.11.1]"
"CSNK2A2; casein kinase 2 alpha 2 [KO:K03097] [EC:2.7.11.1]"
"CSNK2A3; casein kinase 2 alpha 3 [KO:K03097] [EC:2.7.11.1]"
"CSNK2B; casein kinase 2 beta [KO:K03115]"
"CTBP1; C-terminal binding protein 1 [KO:K04496] [EC:1.1.1.428]"
"CTBP2; C-terminal binding protein 2 [KO:K04496] [EC:1.1.1.428]"
"CTNNA1; catenin alpha 1 [KO:K05691]"
"CTNNA2; catenin alpha 2 [KO:K05691]"
"CTNNA3; catenin alpha 3 [KO:K05691]"
"CTNNB1; catenin beta 1 [KO:K02105]"
"CTSL; cathepsin L [KO:K01365] [EC:3.4.22.15]"
"CTTN; cortactin [KO:K06106]"
"CUL1; cullin 1 [KO:K03347]"
"CUL2; cullin 2 [KO:K03870]"
"CXCL12; C-X-C motif chemokine ligand 12 [KO:K10031]"
"CXCL8; C-X-C motif chemokine ligand 8 [KO:K10030]"
"CXCR4; C-X-C motif chemokine receptor 4 [KO:K04189]"
"CYCS; cytochrome c"
"CYP1B1; cytochrome P450 1B1 [KO:K07410] [EC:1.14.14.1]"
"CYP24A1; 1"
"DAPK1; death associated protein kinase 1 [KO:K08803] [EC:2.7.11.1]"
"DAPK2; death associated protein kinase 2 [KO:K08803] [EC:2.7.11.1]"
"DAPK3; death associated protein kinase 3 [KO:K08803] [EC:2.7.11.1]"
"DCC; DCC netrin 1 receptor [KO:K06765]"
"DCN; decorin [KO:K04660]"
"DDB2; damage specific DNA binding protein 2 [KO:K10140]"
"DDIT3; DNA damage inducible transcript 3 [KO:K04452]"
"DDIT4; DNA damage-inducible transcript 4 protein [KO:K08270]"
"DDX5; DEAD-box helicase 5 [KO:K12823] [EC:5.6.2.7]"
"DEFA1; defensin alpha 1 [KO:K05230]"
"DEFA1B; defensin alpha 1B [KO:K05230]"
"DEFA3; defensin alpha 3 [KO:K05230]"
"DEFA4; defensin alpha 4 [KO:K05230]"
"DEFA5; defensin alpha 5 [KO:K05230]"
"DEFA6; defensin alpha 6 [KO:K05230]"
"DGKA; diacylglycerol kinase alpha [KO:K00901] [EC:2.7.1.107]"
"DGKB; diacylglycerol kinase beta [KO:K00901] [EC:2.7.1.107]"
"DGKD; diacylglycerol kinase delta [KO:K00901] [EC:2.7.1.107]"
