"Gene","TargetID","GeneName","Score"
"SLC6A4","ENSG00000108576","solute carrier family 6 member 4",0.344637557804727
"NR3C1","ENSG00000113580","nuclear receptor subfamily 3 group C member 1",0.34309236819729
"ACTN1","ENSG00000072110","actinin alpha 1",0.341589425984424
"SNX24","ENSG00000064652","sorting nexin 24",0.341236664274856
"FUT9","ENSG00000172461","fucosyltransferase 9",0.340654641373487
"HHIPL1","ENSG00000182218","HHIP like 1",0.340357340109607
"FSHB","ENSG00000131808","follicle stimulating hormone subunit beta",0.340261926316602
"PPOX","ENSG00000143224","protoporphyrinogen oxidase",0.340013466309926
"CAPN3","ENSG00000092529","calpain 3",0.340013466309926
"CPS1","ENSG00000021826","carbamoyl-phosphate synthase 1",0.33997320597177
"HTRA1","ENSG00000166033","HtrA serine peptidase 1",0.339952162668717
"MT-CO1","ENSG00000198804","mitochondrially encoded cytochrome c oxidase I",0.338349583863128
"FXN","ENSG00000165060","frataxin",0.338149173586513
"NLGN1","ENSG00000169760","neuroligin 1",0.336020819018532
"EPB41L4A","ENSG00000129595","erythrocyte membrane protein band 4.1 like 4A",0.334518972731558
"MT-CO3","ENSG00000198938","mitochondrially encoded cytochrome c oxidase III",0.333545818852943
"MT-ATP6","ENSG00000198899","mitochondrially encoded ATP synthase membrane subunit 6",0.332621869216232
"MT-ATP8","ENSG00000228253","mitochondrially encoded ATP synthase membrane subunit 8",0.332621869216232
"GJA1","ENSG00000152661","gap junction protein alpha 1",0.33222196351726
"ANKDD1B","ENSG00000189045","ankyrin repeat and death domain containing 1B",0.332163909449468
"NGF","ENSG00000134259","nerve growth factor",0.331555016107075
"MT-ND1","ENSG00000198888","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1",0.330938227656001
"QKI","ENSG00000112531","QKI, KH domain containing RNA binding",0.330859541895946
"CAPRIN2","ENSG00000110888","caprin family member 2",0.329813270306575
"THOC7","ENSG00000163634","THO complex subunit 7",0.328310936635145
"TLR10","ENSG00000174123","toll like receptor 10",0.326272182675545
"GPR26","ENSG00000154478","G protein-coupled receptor 26",0.323567347641105
"BMP3","ENSG00000152785","bone morphogenetic protein 3",0.321697906084892
"PSTPIP1","ENSG00000140368","proline-serine-threonine phosphatase interacting protein 1",0.319533676787054
"UFL1","ENSG00000014123","UFM1 specific ligase 1",0.317928612945543
"NMUR2","ENSG00000132911","neuromedin U receptor 2",0.31758324054755
"MTNR1B","ENSG00000134640","melatonin receptor 1B",0.315805867453578
"CASZ1","ENSG00000130940","castor zinc finger 1",0.315755759741984
"STXBP6","ENSG00000168952","syntaxin binding protein 6",0.315377658666751
"ZCCHC2","ENSG00000141664","zinc finger CCHC-type containing 2",0.314974071294587
"PAPSS2","ENSG00000198682","3'-phosphoadenosine 5'-phosphosulfate synthase 2",0.311514313535182
