"Gene_Symbol","Gene_Name","MIM_Number","Entry_Title","Search_Term","Phenotype_Map","Inheritance","Entrez_GeneIDs","Ensembl_IDs","Source"
"ATP1A2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP1A3","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP1A3","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP1A3","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP1A3","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP1A4","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP1A4","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP1B1","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP1B1","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP5F1A","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP5F1A","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP5F1B","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP5F1B","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP6V0A1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP6V0A1","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP6V1A","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP6V1A","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATROPHY","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATTR","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATTR","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATTRV122I","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATTRV122I","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATTRV30M","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATTRV30M","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN1","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN1","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN10","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN10","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN10","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN2","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN3","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN3","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN3","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN7","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN7","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN7","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN8","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN8","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN8","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN8OS","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN8OS","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATXN8OS","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AURA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AURA","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AURA","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AURA","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AURA","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AUTOSOMAL","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AUTOSOMAL","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AUTOSOMAL","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AUTOSOMAL","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"B2M","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"B2M","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BAIAP2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BAIAP2","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BASAL","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BASAL","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BASILAR","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BASILAR","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BASILAR","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BASILAR","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BASILAR","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BEAN1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BEAN1","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BEAN1","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BENIGN","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BENIGN","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BENIGN","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BENIGN","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BETA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BETA","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BETA","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BETA-1","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BETA-1","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BFIS1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BFIS1","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BFIS1","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BFIS2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BFIS2","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BFIS2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BFIS4","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BFIS4","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BFIS4","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BIOGENESIS","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BOGAERT","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BRAIN","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BRAIN","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BRV","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BRV1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BRV2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BRV2","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BSVD1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BSVD1","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BSVD6","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"BSVD6","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
